mem,ram_pct,ram_mem
35.0,34.9,166.162653184
34.9,35.0,166.464630784
35.0,35.0,166.525046784
35.0,35.0,166.536855552
35.0,35.0,166.631272448
35.0,35.0,166.352883712
35.0,35.0,166.59255296
35.0,35.0,166.593589248
35.0,35.0,166.692466688
35.0,35.0,166.709506048
35.0,35.0,166.72782336
35.0,35.0,166.742196224
35.0,35.0,166.749966336
35.0,35.1,166.764920832
35.1,35.1,166.81709568
35.1,35.0,166.745341952
35.0,35.1,166.779285504
35.1,35.1,166.830829568
35.1,35.0,166.743781376
35.0,35.0,166.731399168
35.0,35.0,166.707560448
35.0,35.0,166.708690944
35.0,35.1,166.782513152
35.1,35.1,166.836043776
35.1,35.1,166.956068864
35.1,35.1,167.027224576
35.1,35.1,166.909345792
35.1,35.1,166.944776192
35.1,35.1,166.98181632
35.1,35.1,167.033122816
35.1,35.1,167.107457024
35.1,35.1,167.212158976
35.1,35.2,167.352713216
35.2,35.1,167.204859904
35.1,35.1,167.11008256
35.1,35.1,167.155679232
35.1,35.1,167.24025344
35.1,35.2,167.337689088
35.2,35.1,167.205199872
35.1,35.2,167.331807232
35.2,35.2,167.383027712
35.2,35.1,167.147094016
35.1,35.1,166.944681984
35.1,35.1,167.0053888
35.1,35.0,166.744829952
35.0,35.1,166.854930432
35.1,35.1,166.95519232
35.1,35.1,166.9929984
35.1,35.1,167.06189312
35.1,35.1,167.09777408
35.1,35.1,167.094059008
35.1,35.1,167.139356672
35.1,35.1,167.207878656
35.1,35.1,167.013801984
35.1,35.1,167.021981696
35.1,35.1,166.94708224
35.1,35.0,166.746882048
35.0,35.1,166.792413184
35.1,35.1,166.838059008
35.1,35.1,166.881210368
35.1,35.1,166.964580352
35.1,35.1,166.879981568
35.1,35.1,166.882971648
35.1,35.1,166.920814592
35.1,35.1,167.006539776
35.1,35.1,167.139295232
35.1,35.1,167.168995328
35.1,35.1,167.223128064
35.1,35.2,167.31006976
35.2,35.2,167.3122816
35.2,35.2,167.360638976
35.2,35.2,167.316373504
35.2,35.2,167.3416704
35.2,35.2,167.417905152
35.2,35.2,167.516659712
35.2,35.2,167.415144448
35.2,35.1,167.179595776
35.1,35.2,167.319023616
35.2,35.1,167.18174208
35.1,35.1,167.137038336
35.1,35.2,167.419904
35.2,35.1,167.189590016
35.1,35.2,167.332368384
35.2,35.2,167.271817216
35.2,35.2,167.403810816
35.2,35.2,167.396282368
35.2,35.2,167.414566912
35.2,35.2,167.459975168
35.2,35.2,167.591968768
35.2,35.2,167.50841856
35.2,35.3,167.866167296
35.3,35.3,167.776374784
35.3,35.2,167.55286016
35.2,35.2,167.637512192
35.2,35.2,167.496056832
35.2,35.2,167.457591296
35.2,35.2,167.468314624
35.2,35.2,167.52326656
35.2,35.2,167.568736256
35.2,35.2,167.63078656
35.2,35.3,167.943102464
35.3,35.3,167.971557376
35.3,35.3,168.066408448
35.3,35.3,168.152256512
35.3,35.4,168.555278336
35.4,35.4,168.568479744
35.4,35.4,168.44597248
35.4,35.4,168.502218752
35.4,35.4,168.57061376
35.4,35.3,168.082157568
35.3,35.3,167.894151168
35.3,35.2,167.585558528
35.2,35.2,167.6256256
35.2,35.2,167.637999616
35.2,35.3,167.918665728
35.3,35.3,167.781957632
35.3,35.3,167.73656576
35.3,35.2,167.711522816
35.2,35.3,167.835062272
35.3,35.2,167.612010496
35.2,35.2,167.586783232
35.2,35.2,167.633174528
35.2,35.2,167.689281536
35.2,35.2,167.512498176
35.2,35.2,167.515860992
35.2,35.2,167.576223744
35.2,35.2,167.388434432
35.2,35.2,167.452094464
35.2,35.2,167.552172032
35.2,35.2,167.435460608
35.2,35.2,167.317532672
35.2,35.2,167.430385664
35.2,35.2,167.485034496
35.2,35.2,167.501979648
35.2,35.2,167.564025856
35.2,35.2,167.616602112
35.2,35.2,167.64628992
35.2,35.2,167.619223552
35.2,35.2,167.715741696
35.2,35.3,167.764631552
35.3,35.2,167.639486464
35.2,35.2,167.610662912
35.2,35.3,167.863967744
35.3,35.3,168.029908992
35.3,35.3,168.074862592
35.3,35.3,167.986843648
35.3,35.2,167.627628544
35.2,35.3,167.729545216
35.3,35.3,167.82004224
35.3,35.3,167.965376512
35.3,35.3,168.097406976
35.3,35.3,168.034312192
35.3,35.3,168.017416192
35.3,35.3,168.18661376
35.3,35.4,168.2369536
35.4,35.4,168.34664448
35.4,35.4,168.372236288
35.4,35.4,168.461426688
35.4,35.4,168.246484992
35.4,35.4,168.35166208
35.4,35.2,167.663161344
35.2,35.3,167.825956864
35.3,35.3,167.948025856
35.3,35.3,167.889969152
35.3,35.3,167.961571328
35.3,35.3,167.992172544
35.3,35.3,168.149868544
35.3,35.3,168.148553728
35.3,35.3,168.206962688
35.3,35.3,168.176930816
35.3,35.3,168.10964992
35.3,35.3,168.13824
35.3,35.3,168.187305984
35.3,35.3,168.121954304
35.3,35.3,168.20191232
35.3,35.4,168.24875008
35.4,35.4,168.287952896
35.4,35.4,168.450875392
35.4,35.4,168.278233088
35.4,35.4,168.288219136
35.4,35.3,168.127909888
35.3,35.3,168.065183744
35.3,35.4,168.250023936
35.4,35.4,168.377147392
